channel,sessions,users,total_transactions,total_revenue_usd,conversion_rate,revenue_per_session_usd,avg_order_value_usd
Display,1597,1005,39,13680.11,0.024420788979336257,8.56613024420789,350.77205128205128
Referral,22233,15376,987,132805.78,0.044393469167453785,5.9733630189358164,134.55499493414388
Direct,35013,27734,514,137636.13,0.014680261617113643,3.9310007711421475,267.7745719844358
Paid Search,5819,4242,75,7572.47,0.012888812510740677,1.3013352809761127,100.96626666666667
Organic Search,94061,78456,783,77663.64,0.0083243852393659439,0.82567312701332118,99.187279693486587
Social,34159,31826,39,3185.36,0.0011417196053748646,0.09325097338915074,81.67589743589744
Affiliates,3925,3179,2,40.96,0.00050955414012738849,0.010435668789808917,20.48
(Other),10,6,0,0.0,0.0,0.0,
